title,make,model,year,condition,transmission,price
Mercedes-Benz M Class ML 350 4Matic 2008 Black,Mercedes Benz,M Class,2008.0,Local Used,Automatic,8500000
Nissan Pathfinder Silver 4x4 2011 Silver,Nissan,Pathfinder Silver,2011.0,Foreign Used,Automatic,14500000
Honda Pilot 2010 Black,Honda,Pilot,2010.0,Local Used,Automatic,7980000
Toyota Corolla LE 4dr Sedan (1.8L 4cyl CVT) 2015 Green,Toyota,Corolla Le,2015.0,Foreign Used,Automatic,15500000
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2011 Silver,Mercedes Benz,E350 Base,2011.0,Foreign Used,Automatic,14000000
Honda Accord Crosstour 2010 White,Honda,Accord Crosstour,2010.0,Local Used,Automatic,6750000
Honda Odyssey 2007 Silver,Honda,Odyssey,2007.0,Local Used,Automatic,3500000
Toyota Venza Limited 2011 Black,Toyota,Venza Limited,2011.0,Foreign Used,Automatic,18500000
Hyundai Sonata Limited 2.0T Sedan (2.0L 4cyl 6A) 2013 Silver,Hyundai,Sonata Limited,2013.0,Foreign Used,Automatic,11500000
Lexus RX 300 2WD 2000 White,Lexus,Rx 300,2000.0,Local Used,Automatic,4500000
Mercedes-Benz M Class ML 350 4Matic 2010 White,Mercedes Benz,M Class,2010.0,Local Used,Automatic,12000000
Acura MDX Touring 4dr SUV AWD (3.5L 6cyl 5A) 2006 Black,Acura,Mdx Touring,2006.0,Foreign Used,Automatic,6500000
Lexus RX 350L 2008 Blue,Lexus,Rx 350L,2008.0,Foreign Used,Automatic,13000000
Toyota Tacoma Limited 2019 Silver,Toyota,Tacoma Limited,2019.0,Foreign Used,Automatic,38950000
Toyota 4-Runner SR5 4dr SUV (4.0L 6cyl 5A) 2015 White,Toyota,4Runner Sr5,2015.0,Foreign Used,Automatic,42500000
